Title,Author,Book_info_url,Book_cover_url,Amazon_url,Apple_book_url
1939: The Lost World of the Fair,David Gelernter,https://www.goodbooks.io/books/1939-the-lost-world-of-the-fair,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e83208f9a30c594311ca6ff_1939-the-lost-world-of-the-fair.jpeg,https://www.amazon.com/1939-Lost-World-David-Gelernter/dp/0028740025/,
1944,Jay Winik,https://www.goodbooks.io/books/1944,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e4b1cda5b30b82a6362bd60_1944.jpeg,https://www.amazon.com/dp/B00P434HS4,https://books.apple.com/us/book/1944/id936185965?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
1984,George Orwell,https://www.goodbooks.io/books/1984,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e4b1cdc871921c0f10e3bc7_1984.jpeg,https://www.amazon.com/dp/0451524934,https://books.apple.com/us/book/1984/id427503546?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
2001,Arthur C. Clarke,https://www.goodbooks.io/books/2001,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aacc655a2f8d90c4272a_2001.jpeg,https://www.amazon.com/2001-Space-Odyssey/dp/0451457994/,https://books.apple.com/us/book/2001-a-space-odyssey/id928436199?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
20th-Century Type,Lewis Blackwell,https://www.goodbooks.io/books/twentieth-century-type,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e8401a93fb6cf22c5f13e94_20th-century-type.jpg,https://www.amazon.com/Twentieth-Century-Revised-Blackwell-2004-06-10-Paperback/dp/B012YSLOFA/,
21 Lessons for the 21st Century,Yuval Noah Harari,https://www.goodbooks.io/books/21-lessons-for-the-21st-century,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836a54e976e81e21efe1f_21-lessons-for-the-21st-century.jpeg,https://www.amazon.com/dp/0525512179,https://books.apple.com/us/book/21-lessons-for-the-21st-century/id1350204872?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
212 Degrees,Sam Parker & Mac Anderson,https://www.goodbooks.io/books/212-degrees,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aad1cafee92140803ac5_212-degrees.jpeg,https://www.amazon.com/212-Extra-Degree-Extraordinary-Results/dp/1492675431/,https://books.apple.com/us/book/212-the-extra-degree/id1140263503?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
24/6,Tiffany Shlain,https://www.goodbooks.io/books/246,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e7d6131b790a970fd50ce44_24-6.jpg,https://www.amazon.com/24-Power-Unplugging-One-Week/dp/1982116862/,https://books.apple.com/us/book/24-6/id1454451476?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
29 Gifts,Cami Walker,https://www.goodbooks.io/books/29-gifts,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcc93e7cfd8f8720ceca4_29-gifts.jpeg,https://www.amazon.com/29-Gifts-Month-Giving-Change/dp/B002YJZDWA/,https://books.apple.com/us/book/29-gifts/id1210010725?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_29_gifts&ls=1
3 Dimensional,Dwyane Wade,https://www.goodbooks.io/books/3-dimensional,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcd70abfa031b6213a24c_dwyane.jpeg,https://www.amazon.com/3-Dimensional-Dwyane-Wade/dp/0062968351/,
30 Rooms to Hide In,Luke Longstreet Sullivan,https://www.goodbooks.io/books/30-rooms-to-hide-in,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcc94d055a56b2d0b2d97_30-rooms-to-hide-in.jpeg,https://www.amazon.com/Thirty-Rooms-Hide-Insanity-Addiction-ebook/dp/B009W7PUTI/,
300 Arguments,Sarah Manguso,https://www.goodbooks.io/books/300-arguments,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836a74e976e2b9e1efe21_300-arguments.jpeg,https://www.amazon.com/dp/1555977642,https://books.apple.com/us/book/300-arguments/id1153559062?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
36 Arguments for the Existence of God,Rebecca Goldstein,https://www.goodbooks.io/books/36-arguments-for-the-existence-of-god,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836a8fa5056498b0645b3_36-arguments-for-the-existence-of-god.jpeg,https://www.amazon.com/dp/B00317G77O,https://books.apple.com/us/book/36-arguments-for-the-existence-of-god/id419249683?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
36 Lectures in Biology,S.E. Luria,https://www.goodbooks.io/books/36-lectures-in-biology,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836a958cc466a52de8968_36-lectures-in-biology.jpeg,https://www.amazon.com/dp/0262120682,
40 Chances,Howard G. Buffett,https://www.goodbooks.io/books/40-chances,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836abc8f587bdb0628e44_40-chances.jpeg,https://www.amazon.com/dp/1451687877,https://books.apple.com/us/book/40-chances/id618054971?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
5 Levels of Leadership,John Maxwell,https://www.goodbooks.io/books/5-levels-of-leadership,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e832091eb7ca0c51a060346_5-levels-of-leadership.jpeg,https://www.amazon.com/Levels-Leadership-Proven-Maximize-Potential/dp/1599953633/,https://books.apple.com/us/book/the-5-levels-of-leadership/id424943811?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
5/3/1,Jim Wendler,https://www.goodbooks.io/books/531,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836ac07af5b19af2bdae1_531.jpeg,https://www.amazon.com/dp/B00686OYGQ,
59 Seconds,Richard Wiseman,https://www.goodbooks.io/books/59-seconds,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836ad07af5bc5ea2bdae4_59-seconds.jpeg,https://www.amazon.com/dp/0307474860,https://books.apple.com/us/book/59-seconds/id420281728?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
61 Hours,Lee Child,https://www.goodbooks.io/books/61-hours,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836af7cd6287af6fce3c4_61-hours.jpeg,https://www.amazon.com/dp/0345541596,https://books.apple.com/us/book/61-hours/id418648936?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
7 Powers,Hamilton Helmer,https://www.goodbooks.io/books/7-powers,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836b02197ec0bfe4e58f8_7-powers.jpeg,https://www.amazon.com/dp/0998116319,https://books.apple.com/us/book/7-powers/id1178396416?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
90 Minutes in Heaven,Cecil Murphey & Don Piper,https://www.goodbooks.io/books/90-minutes-in-heaven,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcc952d6a6abde8b7e1a5_90-minutes-in-heaven.jpeg,https://www.amazon.com/90-Minutes-Heaven-Story-Death-ebook/dp/B00GHXRBLU/,https://books.apple.com/us/book/90-minutes-in-heaven/id433215588?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_90_minutes_in_heaven&ls=1
99% True,Paul McGowan,https://www.goodbooks.io/books/99-true,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aad2cafee9ee92803ad9_99-true.jpeg,https://www.amazon.com/99-True-Almost-National-Bestseller/dp/1733583319/,https://books.apple.com/us/book/99-true/id1462941012?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Beautifully Foolish Endeavor,Hank Green,https://www.goodbooks.io/books/a-beautifully-foolish-endeavor,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5f3a37186c68f2352c1c5884_a-beautifully-foolish-endeavour.jpg,https://www.amazon.com/Beautifully-Foolish-Endeavor-Novel-Carls/dp/152474347X,https://books.apple.com/us/book/a-beautifully-foolish-endeavor/id1489092279?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Beginnerâs Guide to the End,BJ Miller & Shoshana Berger,https://www.goodbooks.io/books/a-beginners-guide-to-the-end,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcc9661cddc225d6ddfa0_a-beginners-guide-to-the-end.jpeg,https://www.amazon.com/Beginners-Guide-End-Practical-Advice/dp/1501157167/,https://books.apple.com/us/book/a-beginners-guide-to-the-end/id1447835419?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_a_beginner%27s_guide_to_the_end&ls=1
