Title,Author,Book_info_url,Book_cover_url,Amazon_url,Apple_book_url
A Story Lately Told,Anjelica Huston,https://www.goodbooks.io/books/a-story-lately-told,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e583711f6af4f7b1169eede_a-story-lately-told.jpeg,https://www.amazon.com/dp/1451656297,https://books.apple.com/us/book/a-story-lately-told/id576502854?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,https://www.goodbooks.io/books/a-supposedly-fun-thing-ill-never-do-again,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aadc655a2f0a31c4276f_a-supposedly-fun-thing-ill-never-do-again.jpeg,https://www.amazon.com/Supposedly-Fun-Thing-Never-Again/dp/0316925284/,https://books.apple.com/us/book/a-supposedly-fun-thing-ill-never-do-again/id357300072?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Tale of Love and Darkness,Amos Oz,https://www.goodbooks.io/books/a-tale-of-love-and-darkness,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e83209b44cefc46c36a83a2_a-tale-of-love-and-darkness.jpeg,https://www.amazon.com/Tale-Love-Darkness-Amos-Oz/dp/015603252X/,https://books.apple.com/us/book/a-tale-of-love-and-darkness/id427685339?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Tale of Two Cities,Charles Dickens,https://www.goodbooks.io/books/a-tale-of-two-cities,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e57284d5973dae034bf9dc5_a-tale-of-two-cities.jpeg,https://www.amazon.com/dp/0486406512,https://books.apple.com/us/book/a-tale-of-two-cities/id411519197?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Tan and Sandy Silence,John D. Macdonald,https://www.goodbooks.io/books/a-tan-and-sandy-silence,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5837122197ecb0994e5bb3_a-tan-and-sandy-silence.jpeg,https://www.amazon.com/dp/081298403X,https://books.apple.com/us/book/a-tan-and-sandy-silence/id564590068?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Technique for Producing Ideas,James Webb Young,https://www.goodbooks.io/books/a-technique-for-producing-ideas,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aadd655a2f4e33c42785_a-technique-for-producing-ideas.jpeg,https://www.amazon.com/Technique-Producing-Ideas-James-Young/dp/1088886795/,https://books.apple.com/us/book/a-technique-for-producing-ideas/id1412487070?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Theory of Justice,John Rawls,https://www.goodbooks.io/books/a-theory-of-justice,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5837137cd6280641fce500_a-theory-of-justice.jpeg,https://www.amazon.com/dp/B003TXT09C,https://books.apple.com/us/book/a-theory-of-justice/id1445725768?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Thousand Days,Arthur M. Schlesinger,https://www.goodbooks.io/books/a-thousand-days,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca3cc0636069aec9bea_a-thousand-days.jpeg,https://www.amazon.com/Thousand-Days-Kennedy-White-House-ebook/dp/B0089YAG6M/,https://books.apple.com/us/book/a-thousand-days/id1304841435?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_a_thousand_days&ls=1
A Thousand Pardons,Jonathan Dee,https://www.goodbooks.io/books/a-thousand-pardons,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aadeef0f9013b24da53b_a-thousand-pardons.jpeg,https://www.amazon.com/Thousand-Pardons-Novel-Jonathan-Dee/dp/0812983386/,https://books.apple.com/us/book/a-thousand-pardons/id556415167?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Thousand Splendid Suns,Khaled Hosseini,https://www.goodbooks.io/books/a-thousand-splendid-suns,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e55e2636725fd19e22e5c29_a-thousand-splendid-suns.jpeg,https://www.amazon.com/dp/1594489505,https://books.apple.com/us/book/a-thousand-splendid-suns/id357923249?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
