Title,Author,Book_info_url,Book_cover_url,Amazon_url,Apple_book_url
"Surely You're Joking; Mr. Feynman!",Richard P. Feynman,https://www.goodbooks.io/books/surely-youre-joking-mr-feynman,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5045556c97058f6b84d0f3_surely-youre-joking-mr-feynman.jpeg,https://www.amazon.com/dp/0393355624,https://books.apple.com/us/book/surely-youre-joking-mr-feynman-adventures-curious-character/id1314567348?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
"What Do You Care What Other People Think?",Richard P. Feynman,https://www.goodbooks.io/books/what-do-you-care-what-other-people-think,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e577dec48b1524bc1c6aac2_what-do-you-care-what-other-people-think.jpg,https://www.amazon.com/What-Care-Other-People-Think/dp/0393355640/,https://books.apple.com/us/book/what-do-you-care-what-other-people-think-further-adventures/id420939702?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
#GIRLBOSS,Sophia Amoruso,https://www.goodbooks.io/books/girlboss,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcc91353ff13e9d333982_girlboss.jpeg,https://www.amazon.com/GIRLBOSS-Sophia-Amoruso/dp/1591847931/,https://books.apple.com/us/book/girlboss/id731072470?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
1;000 Books to Read Before You Die,James Mustich,https://www.goodbooks.io/books/1000-books-to-read-before-you-die,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e83208b790e74370bd54e62_1000-books-to-read-before-you-die.jpeg,https://www.amazon.com/000-Books-Read-Before-Life-Changing/dp/1523504455/,https://books.apple.com/us/book/1-000-books-to-read-before-you-die/id1350019308?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
1;000 Foods To Eat Before You Die,Mimi Sheraton,https://www.goodbooks.io/books/1000-foods-to-eat-before-you-die,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aacd5ff0df52e563694e_1000-foods-to-eat-before-you-die.jpeg,https://www.amazon.com/000-Foods-Eat-Before-You/dp/0761141685/,https://books.apple.com/us/book/1-000-foods-to-eat-before-you-die/id882983748?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
10% Happier,Dan Harris,https://www.goodbooks.io/books/10-happier,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e4b1ccd5b30b857ba62bd1b_10-happier.jpeg,https://www.amazon.com/dp/0062917609,https://books.apple.com/us/book/10-happier-revised-edition/id1461750361?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
100 Best-Loved Poems,Philip Smith,https://www.goodbooks.io/books/100-best-loved-poems,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e927aea333832266e3c3027_100-best-loved-poems.jpeg,https://www.amazon.com/Best-Loved-Poems-Dover-Thrift-Editions/dp/0486285537/,https://books.apple.com/us/book/100-best-loved-poems/id480942153?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_100_best_loved_poems&ls=1
100 Deadly Skills,Clint Emerson,https://www.goodbooks.io/books/100-deadly-skills,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e89a02bbebe7d6ea9039950_100-deadly-skills.jpeg,https://www.amazon.com/dp/147679605X/,https://books.apple.com/us/book/100-deadly-skills/id974980657?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_100_deadly_skills&ls=1
100 Great Operas and Their Stories,Henry W. Simon,https://www.goodbooks.io/books/100-great-operas-and-their-stories,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e4b1cceeaec71e298952a13_100-great-operas-and-their-stories.jpeg,https://www.amazon.com/Great-Operas-Their-Stories-Act/dp/0385054483,https://books.apple.com/us/book/100-great-operas-and-their-stories/id420498876?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
100 Minds That Made the Market,Ken Fisher,https://www.goodbooks.io/books/100-minds-that-made-the-market,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e83208c6948e09603a00cbc_100-minds-that-made-the-market.jpeg,https://www.amazon.com/100-Minds-That-Made-Market/dp/047013951X/,https://books.apple.com/us/book/100-minds-that-made-the-market/id381145162?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
100 Plus,Sonia Arrison,https://www.goodbooks.io/books/100-plus,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e4b1cd0eaec710358952a17_100-plus.jpeg,https://www.amazon.com/dp/0465063764,https://books.apple.com/us/book/100-plus/id1210004483?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
100 Secrets of the Art World,Thomas Girst,https://www.goodbooks.io/books/100-secrets-of-the-art-world,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e4b1cd15b30b860b162bd34_100-secrets-of-the-art-world.jpeg,https://www.amazon.com/dp/3863359615,
100 Side Hustles,Chris Guillebeau,https://www.goodbooks.io/books/100-side-hustles,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aaceef0f902f2d4da371_100-side-hustles.jpeg,https://www.amazon.com/100-Side-Hustles-Unexpected-Quitting/dp/0399582576/,https://books.apple.com/us/book/100-side-hustles/id1435723373?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
100 Things Every Designer Needs to Know About People,Susan Weinschenk,https://www.goodbooks.io/books/100-things-every-designer-needs-to-know-about-people,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aad0841dc0f8029928d4_100-things-every-designer-needs-to-know-about-people.jpeg,https://www.amazon.com/Things-Designer-People-Voices-Matter/dp/0321767535/,https://books.apple.com/us/book/100-things-every-designer-needs-to-know-about-people/id432519291?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
