Title,Author,Book_info_url,Book_cover_url,Amazon_url,Apple_book_url
A Wanted Man,Lee Child,https://www.goodbooks.io/books/a-wanted-man,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e58371e4e976e16cc1f036c_a-wanted-man.jpeg,https://www.amazon.com/dp/0307990850,https://books.apple.com/us/book/a-wanted-man/id502372782?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Way of Being,Carl Rogers,https://www.goodbooks.io/books/a-way-of-being,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e58372007af5be96f2bdd6d_a-way-of-being.jpeg,https://www.amazon.com/dp/0395755301,https://books.apple.com/us/book/a-way-of-being/id1517952155?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Whole New Mind,Daniel Pink,https://www.goodbooks.io/books/a-whole-new-mind,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e583721fa5056115c064974_a-whole-new-mind.jpeg,https://www.amazon.com/dp/B000PC0SPU,https://books.apple.com/us/book/a-whole-new-mind/id386154919?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Widow for One Year,John Irving,https://www.goodbooks.io/books/a-widow-for-one-year,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e83209f9a30c557961ca72d_a-widow-for-one-year.jpeg,https://www.amazon.com/Widow-One-Year-John-Irving/dp/034543479X/,https://books.apple.com/us/book/a-widow-for-one-year/id420030587?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Window Opens,Elisabeth Egan,https://www.goodbooks.io/books/a-window-opens,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca510aa831e146bdb37_a-window-opens.jpeg,https://www.amazon.com/Uterus-Feature-Not-Bug-Overthrowing/dp/0062641816/,https://books.apple.com/us/book/a-window-opens/id939799640?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_a_window_opens&ls=1
A Wizard of Earthsea,Ursula K. Le Guin,https://www.goodbooks.io/books/a-wizard-of-earthsea,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e8320a06203830c3cd1453f_a-wizard-of-earthsea.jpeg,https://www.amazon.com/Wizard-Earthsea-Cycle-Ursula-2012-09-11/dp/B01K3HS13W/,https://books.apple.com/us/book/a-wizard-of-earthsea/id551241606?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A World Lit Only by Fire,William Manchester,https://www.goodbooks.io/books/a-world-lit-only-by-fire,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5837234e976e6e491f0376_a-world-lit-only-by-fire.jpeg,https://www.amazon.com/dp/0316545562,https://books.apple.com/us/book/a-world-lit-only-by-fire/id357662788?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A World-Class Education,Vivien Stewart,https://www.goodbooks.io/books/a-world-class-education,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e583724f6af4f42bd69ef72_a-world-class-education.jpeg,https://www.amazon.com/dp/B0077D8JN8,https://books.apple.com/us/book/a-world-class-education/id900617254?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Wrinkle in Time,Madeleine L'Engle,https://www.goodbooks.io/books/a-wrinkle-in-time,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aadfcafee927fb803af1_a-wrinkle-in-time.jpeg,https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546/,https://books.apple.com/us/book/a-wrinkle-in-time/id385975677?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Year of Simple Family Food,Julia Busuttil Nishimura,https://www.goodbooks.io/books/a-year-of-simple-family-food,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5f7a7e02485db58c7d5edef7_a-year-of-simple-family-food.jpg,https://www.amazon.com/Year-Simple-Family-Food/dp/1760784362/,https://books.apple.com/us/book/a-year-of-simple-family-food/id1498571480?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
AI Superpowers,Kai-Fu Lee,https://www.goodbooks.io/books/ai-superpowers,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aae8655a2f3911c427e1_ai-superpowers.jpeg,https://www.amazon.com/AI-Superpowers-China-Silicon-Valley/dp/132854639X/,https://books.apple.com/us/book/ai-superpowers/id1338002652?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
About Face,David H. Hackworth,https://www.goodbooks.io/books/about-face,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5837257cd6285e78fce523_about-face.jpeg,https://www.amazon.com/dp/0671695347,https://books.apple.com/us/book/about-face/id1525224630?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Abraham Lincoln,John G. Nicolay,https://www.goodbooks.io/books/abraham-lincoln,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e583726fa5056ea1b0649c1_abraham-lincoln.jpeg,https://www.amazon.com/History-Abraham-Lincoln-John-Nicolay/dp/198367964X,https://books.apple.com/us/book/abraham-lincoln-biographies-13-books/id377047738?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_abraham_lincoln%3A_biographies_%2813_b&ls=1
Absence of Mind,Marilynne Robinson,https://www.goodbooks.io/books/absence-of-mind,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5f711a03f3dbe97828044eab_absence-of-mind.jpeg,https://www.amazon.com/Absence-Mind-Dispelling-Inwardness-Lectures/dp/0300171471/,https://books.apple.com/us/book/absence-of-mind/id674604912?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Absolute Tao,Osho,https://www.goodbooks.io/books/absolute-tao,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e927aecf70fbb5e3a0837af_absolute-tao.jpeg,https://www.amazon.com/Absolute-Tao-Subtle-happiness-Treasures/dp/0983640009/,https://books.apple.com/us/book/absolute-tao/id489156955?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_absolute_tao&ls=1
Absurdistan,Gary Shteyngart,https://www.goodbooks.io/books/absurdistan,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e583728fa505616c1064b2e_absurdistan.jpeg,https://www.amazon.com/dp/B000GCFWAU,https://books.apple.com/us/book/absurdistan/id420043731?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Abundance,Peter Diamandis,https://www.goodbooks.io/books/abundance,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e55e2646725fd06a42e5c36_abundance.jpeg,https://www.amazon.com/dp/1451614217,https://books.apple.com/us/book/abundance/id454135978?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Academically Adrift,Richard Arum,https://www.goodbooks.io/books/academically-adrift,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5837294e976e8b481f0380_academically-adrift.jpeg,https://www.amazon.com/dp/0226028550,https://books.apple.com/us/book/academically-adrift/id555720702?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Accelerando,Charles Stross,https://www.goodbooks.io/books/accelerando,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca68bc7e54e7f154a08_accelerando.jpeg,https://www.amazon.com/Accelerando-Singularity-Charles-Stross/dp/0441014151/,https://books.apple.com/us/book/accelerando/id361826916?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_accelerando&ls=1
Accessibility for Everyone,Laura Kalbag,https://www.goodbooks.io/books/accessibility-for-everyone,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e9902f1ae81cf3c6d430d45_accessibility-for-everyone.png,https://www.amazon.com/Accessibility-Everyone-Laura-Kalbag/dp/1937557618/,https://books.apple.com/us/book/accessibility-for-everyone/id1289720502?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_accessibility_for_everyone&ls=1
Accidental Presidents,Jared Cohen,https://www.goodbooks.io/books/accidental-presidents,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e89a02f58edde108f73a5b1_accidental-presidents.jpeg,https://www.amazon.com/dp/1501109839/,https://books.apple.com/us/book/accidental-presidents/id1431901085?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_accidental_presidents&ls=1
Accounting for Tastes,Gary S. Becker,https://www.goodbooks.io/books/accounting-for-tastes,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e589f504172e85836897f5a_accounting-for-tastes.jpeg,https://www.amazon.com/dp/0674543572,
Accumulation and Power,Richard B. DuBoff,https://www.goodbooks.io/books/accumulation-and-power,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca761cddc76ce6ddfa9_accumulation-and-power.jpeg,https://www.amazon.com/Accumulation-Power-Economic-History-United-ebook/dp/B01IVS7PVY/,
Acid Test,Tom Shroder,https://www.goodbooks.io/books/acid-test,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e589f52f68ab82ae5a7bbd6_acid-test.jpeg,https://www.amazon.com/dp/B00INIQTD8,https://books.apple.com/us/book/acid-test/id824358283?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
