Title,Author,Book_info_url,Book_cover_url,Amazon_url,Apple_book_url
A Plea for the Animals,Matthieu Ricard,https://www.goodbooks.io/books/a-plea-for-the-animals,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836fd7cd6281db6fce4d6_a-plea-for-the-animals.jpeg,https://www.amazon.com/dp/1611803055,https://books.apple.com/us/book/a-plea-for-the-animals/id1161766285?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Prayer for the City,Buzz Bissinger,https://www.goodbooks.io/books/a-prayer-for-the-city,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcc9e6fbe739f513de1ad_a-prayer-for-the-city.jpeg,https://www.amazon.com/Prayer-City-Buzz-Bissinger/dp/0679744940/,https://books.apple.com/us/book/a-prayer-for-the-city/id980151406?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_a_prayer_for_the_city&ls=1
A Preponderance of Power,Melvyn P. Leffler,https://www.goodbooks.io/books/a-preponderance-of-power,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcc9f0b1b79361688073b_a-preponderance-of-power.jpeg,https://www.amazon.com/Preponderance-Power-National-Security-Administration-ebook/dp/B07HHHYY15/,https://books.apple.com/us/book/preponderance-power-national-security-truman-administration/id1436296369?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_a_preponderance_of_power%3A_national&ls=1
A Quiet Flame,Philip Kerr,https://www.goodbooks.io/books/a-quiet-flame,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836ff2197ec21ff4e5b25_a-quiet-flame.jpeg,https://www.amazon.com/dp/B001SCK73E,https://books.apple.com/us/book/a-quiet-flame/id357990881?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Rap on Race,James Baldwin & Margaret Mead,https://www.goodbooks.io/books/a-rap-on-race,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5837007cd6280c17fce4db_a-rap-on-race.jpeg,https://www.amazon.com/dp/B000GSM7WK,
A Return to Love,Marianne Williamson,https://www.goodbooks.io/books/a-return-to-love,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca07a8115a427e6254e_a-return-to-love.jpeg,https://www.amazon.com/A-Return-to-Love/dp/B0000546D8/,https://books.apple.com/us/book/a-return-to-love/id360607340?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_a_return_to_love&ls=1
A River Runs Through It,Norman Maclean,https://www.goodbooks.io/books/a-river-runs-through-it,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e583702fa505684fc064721_a-river-runs-through-it.jpeg,https://www.amazon.com/dp/0226500608,https://books.apple.com/us/book/a-river-runs-through-it-and-other-stories/id1525380436?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Room With a View,E. M. Forster,https://www.goodbooks.io/books/a-room-with-a-view,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca13327e25826778fab_a-room-with-a-view.jpeg,https://www.amazon.com/A-Room-with-a-View/dp/B07L9ZML3T/,https://books.apple.com/us/book/a-room-with-a-view/id498714850?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_a_room_with_a_view&ls=1
A Room of One's Own,Virginia Woolf,https://www.goodbooks.io/books/a-room-of-ones-own,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e83209944cefcd4096a839a_a-room-of-ones-own.jpeg,https://www.amazon.com/Room-Ones-Own-Virginia-Woolf/dp/1618952765/,https://books.apple.com/us/book/a-room-of-ones-own/id1282004189?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Sand County Almanac and Sketches Here and There,Aldo Leopold,https://www.goodbooks.io/books/a-sand-county-almanac-and-sketches-here-and-there,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5837034e976e22651f0329_a-sand-county-almanac-and-sketches-here-and-there.jpeg,https://www.amazon.com/dp/0195007778,https://books.apple.com/us/book/a-sand-county-almanac/id1529374928?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Savage War of Peace,Alistair Horne,https://www.goodbooks.io/books/a-savage-war-of-peace,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca26fbe73eb783de1b0_a-savage-war-of-peace.jpeg,https://www.amazon.com/Savage-War-Peace-Algeria-1954-1962/dp/B00138XNTS/,https://books.apple.com/us/book/a-savage-war-of-peace/id546129388?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Second Chance,Catherine Hoke,https://www.goodbooks.io/books/a-second-chance,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e583704f6af4f4bac69ee78_a-second-chance.jpeg,https://www.amazon.com/dp/0999669508,https://books.apple.com/us/audiobook/a-second-chance-unabridged/id1352353006?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=audio-books_a_second_chance_%28unabridged%29&ls=1
