Title,Author,Book_info_url,Book_cover_url,Amazon_url,Apple_book_url
A Feast for Crows,George R.R. Martin,https://www.goodbooks.io/books/a-feast-for-crows,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836c4c8f587cf7c628e6b_a-feast-for-crows.jpeg,https://www.amazon.com/dp/B000FCKGPC,https://books.apple.com/us/book/a-feast-for-crows/id419935414?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Feast of Snakes,Harry Crews,https://www.goodbooks.io/books/a-feast-of-snakes,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836c507af5b5c542bdb76_a-feast-of-snakes.jpeg,https://www.amazon.com/dp/0684842483,
A Few Lessons from Sherlock Holmes,Peter Bevelin,https://www.goodbooks.io/books/a-few-lessons-from-sherlock-holmes,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aad3cafee93b50803adc_a-few-lessons-from-sherlock-holmes.jpeg,https://www.amazon.com/Few-Lessons-Sherlock-Holmes/dp/1780924488/,https://books.apple.com/us/book/a-few-lessons-from-sherlock-holmes/id667408985?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Field Guide to Getting Lost,Rebecca Solnit,https://www.goodbooks.io/books/a-field-guide-to-getting-lost,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e572845a8fe07a9f5bab7e2_a-field-guide-to-getting-lost.jpeg,https://www.amazon.com/dp/0143037242,https://books.apple.com/us/book/a-field-guide-to-getting-lost/id357985094?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Field Guide to Lucid Dreaming,Jared Chiang-Zeizel,https://www.goodbooks.io/books/a-field-guide-to-lucid-dreaming,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5f157e8b8233844047fb54b0_a-field-guide-to-lucid-dreaming.jpeg,https://www.amazon.com/Field-Guide-Lucid-Dreaming-Oneironautics/dp/0761177396/,https://books.apple.com/us/audiobook/field-guide-to-lucid-dreaming-mastering-art-oneironautics/id1422261532?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=audio-books_a_field_guide_to_lucid_dream&ls=1
A Fighter's Heart,Sam Sheridan,https://www.goodbooks.io/books/a-fighters-heart,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e7d7f2086f74d4a81057d63_a-fighters-heart.jpg,https://www.amazon.com/Fighters-Heart-Journey-Through-Fighting/dp/0871139502/,https://books.apple.com/us/book/a-fighters-heart/id1460759118?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Fine Balance,Rohinton Mistry,https://www.goodbooks.io/books/a-fine-balance,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e572846e8c5308387d146cb_a-fine-balance.jpeg,https://www.amazon.com/dp/140003065X,https://books.apple.com/us/book/a-fine-balance/id420539938?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Full Life,Jimmy Carter,https://www.goodbooks.io/books/a-full-life,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e572847a8fe076ea3bab7e6_a-full-life.jpeg,https://www.amazon.com/dp/1501115642,https://books.apple.com/us/book/a-full-life/id982770136?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Game of Thrones,George R.R. Martin,https://www.goodbooks.io/books/a-game-of-thrones,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836c6c8f58798ae628e7f_a-game-of-thrones.jpeg,https://www.amazon.com/dp/B000QCS8TW,https://books.apple.com/us/book/a-game-of-thrones/id419935229?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Garden of Bones,Andy Done-Johnson,https://www.goodbooks.io/books/a-garden-of-bones,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5f711a155460ca12a7381cf4_a-garden-of-bones.jpeg,https://www.amazon.com/Garden-Bones-Blood-Runs-Thicker-ebook/dp/B085N2CQBC/,
A Geek in Japan,Hector Garcia Puigcerver,https://www.goodbooks.io/books/a-geek-in-japan,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e59a16b2089e5ca4a82ca52_geek-in-japan.jpeg,https://www.amazon.com/dp/4805311290,https://books.apple.com/us/book/a-geek-in-japan/id1338773707?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Gentleman in Moscow,Amor Towles,https://www.goodbooks.io/books/a-gentleman-in-moscow,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836c87cd62848a2fce422_a-gentleman-in-moscow.jpeg,https://www.amazon.com/dp/0670026190,https://books.apple.com/us/book/a-gentleman-in-moscow/id1091133010?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
A Giacometti Portrait,James Lord,https://www.goodbooks.io/books/a-giacometti-portrait,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e5836c92197ec7d424e59c2_a-giacometti-portrait.jpeg,https://www.amazon.com/dp/1330424999,
